timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763944948494,1,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,1,1,http://localhost:8081/healthcheck,1,0,1
1763944948495,43,POST,201,Created,TESTES 1-1,text,true,,340,375,1,1,http://localhost:8081/users,43,0,0
1763944948538,0,GET ID,200,OK,TESTES 1-1,text,true,,423,124,1,1,http://localhost:8081/users/11,0,0,0
1763944948538,1,PUT,200,OK,TESTES 1-1,text,true,,408,319,1,1,http://localhost:8081/users/11,1,0,0
1763944948539,1,GET,200,OK,TESTES 1-1,text,true,,2939,121,1,1,http://localhost:8081/users,1,0,0
1763944948540,1,DELETE,200,OK,TESTES 1-1,text,true,,165,210,1,1,http://localhost:8081/users/11,1,0,0
1763944948541,0,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,1,1,http://localhost:8081/healthcheck,0,0,0
1763944948543,8,Healthcheck,200,OK,TESTES 1-2,text,true,,176,127,2,2,http://localhost:8081/healthcheck,8,0,0
1763944948541,39,POST,201,Created,TESTES 1-1,text,true,,340,376,2,2,http://localhost:8081/users,39,0,0
1763944948580,1,GET ID,200,OK,TESTES 1-1,text,true,,423,124,2,2,http://localhost:8081/users/12,1,0,0
1763944948581,1,PUT,200,OK,TESTES 1-1,text,true,,407,318,2,2,http://localhost:8081/users/12,1,0,0
1763944948582,0,GET,200,OK,TESTES 1-1,text,true,,2938,121,2,2,http://localhost:8081/users,0,0,0
1763944948582,0,DELETE,200,OK,TESTES 1-1,text,true,,165,210,2,2,http://localhost:8081/users/12,0,0,0
1763944948582,0,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,2,2,http://localhost:8081/healthcheck,0,0,0
1763944948551,41,POST,201,Created,TESTES 1-2,text,true,,339,375,2,2,http://localhost:8081/users,41,0,0
1763944948592,0,GET ID,200,OK,TESTES 1-2,text,true,,422,124,2,2,http://localhost:8081/users/13,0,0,0
1763944948592,1,PUT,200,OK,TESTES 1-2,text,true,,408,319,3,3,http://localhost:8081/users/13,1,0,0
1763944948593,0,GET,200,OK,TESTES 1-2,text,true,,2939,121,3,3,http://localhost:8081/users,0,0,0
1763944948593,0,Healthcheck,200,OK,TESTES 1-3,text,true,,176,127,3,3,http://localhost:8081/healthcheck,0,0,0
1763944948593,0,DELETE,200,OK,TESTES 1-2,text,true,,165,210,3,3,http://localhost:8081/users/13,0,0,0
1763944948593,1,Healthcheck,200,OK,TESTES 1-2,text,true,,176,127,3,3,http://localhost:8081/healthcheck,1,0,0
