timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763947200921,6,Healthcheck,200,OK,TESTES 1-1,text,true,,290,127,1,1,http://localhost:8085/healthcheck,6,0,1
1763947200941,1,Healthcheck,200,OK,TESTES 1-2,text,true,,290,127,2,2,http://localhost:8085/healthcheck,1,0,0
1763947200961,1,Healthcheck,200,OK,TESTES 1-3,text,true,,290,127,3,3,http://localhost:8085/healthcheck,1,0,0
1763947200927,51,POST,201,Created,TESTES 1-1,text,true,,380,395,3,3,http://localhost:8085/users,51,0,0
1763947200978,2,GET ID,200,OK,TESTES 1-1,text,true,,530,124,3,3,http://localhost:8085/users/11,2,0,0
1763947200980,1,PUT,200,OK,TESTES 1-1,text,true,,515,336,4,4,http://localhost:8085/users/11,1,0,0
1763947200981,1,Healthcheck,200,OK,TESTES 1-4,text,true,,290,127,4,4,http://localhost:8085/healthcheck,1,0,0
1763947200981,2,GET,200,OK,TESTES 1-1,text,true,,2968,121,4,4,http://localhost:8085/users,2,0,0
1763947200942,42,POST,201,Created,TESTES 1-2,text,true,,380,395,4,4,http://localhost:8085/users,42,0,0
1763947200983,2,DELETE,200,OK,TESTES 1-1,text,true,,277,210,4,4,http://localhost:8085/users/11,2,0,0
1763947200984,1,GET ID,200,OK,TESTES 1-2,text,true,,530,124,4,4,http://localhost:8085/users/12,1,0,0
1763947200985,0,Healthcheck,200,OK,TESTES 1-1,text,true,,290,127,4,4,http://localhost:8085/healthcheck,0,0,0
1763947200985,2,PUT,200,OK,TESTES 1-2,text,true,,515,336,4,4,http://localhost:8085/users/12,2,0,0
1763947200987,0,GET,200,OK,TESTES 1-2,text,true,,2968,121,4,4,http://localhost:8085/users,0,0,0
1763947200987,1,DELETE,200,OK,TESTES 1-2,text,true,,277,210,4,4,http://localhost:8085/users/12,1,0,0
1763947200988,1,Healthcheck,200,OK,TESTES 1-2,text,true,,290,127,4,4,http://localhost:8085/healthcheck,1,0,0
1763947200962,39,POST,201,Created,TESTES 1-3,text,true,,380,395,4,4,http://localhost:8085/users,39,0,0
1763947201001,1,GET ID,200,OK,TESTES 1-3,text,true,,530,124,5,5,http://localhost:8085/users/13,1,0,0
1763947201001,1,Healthcheck,200,OK,TESTES 1-5,text,true,,290,127,5,5,http://localhost:8085/healthcheck,1,0,0
1763947201002,1,PUT,200,OK,TESTES 1-3,text,true,,515,336,5,5,http://localhost:8085/users/13,1,0,0
1763947201003,1,GET,200,OK,TESTES 1-3,text,true,,2968,121,5,5,http://localhost:8085/users,1,0,0
1763947201004,1,DELETE,200,OK,TESTES 1-3,text,true,,277,210,5,5,http://localhost:8085/users/13,1,0,0
1763947201005,1,Healthcheck,200,OK,TESTES 1-3,text,true,,290,127,5,5,http://localhost:8085/healthcheck,1,0,0
1763947201021,1,Healthcheck,200,OK,TESTES 1-6,text,true,,290,127,6,6,http://localhost:8085/healthcheck,1,0,0
1763947200982,42,POST,201,Created,TESTES 1-4,text,true,,380,395,6,6,http://localhost:8085/users,42,0,0
1763947201024,1,GET ID,200,OK,TESTES 1-4,text,true,,530,124,6,6,http://localhost:8085/users/14,1,0,0
1763947201025,1,PUT,200,OK,TESTES 1-4,text,true,,514,335,6,6,http://localhost:8085/users/14,1,0,0
1763947200985,42,POST,201,Created,TESTES 1-1,text,true,,379,394,6,6,http://localhost:8085/users,42,0,0
1763947201026,1,GET,200,OK,TESTES 1-4,text,true,,3260,121,6,6,http://localhost:8085/users,1,0,0
1763947201027,1,GET ID,200,OK,TESTES 1-1,text,true,,529,124,6,6,http://localhost:8085/users/15,1,0,0
1763947201027,1,DELETE,200,OK,TESTES 1-4,text,true,,277,210,6,6,http://localhost:8085/users/14,1,0,0
1763947201028,1,Healthcheck,200,OK,TESTES 1-4,text,true,,290,127,6,6,http://localhost:8085/healthcheck,1,0,0
1763947201028,2,PUT,200,OK,TESTES 1-1,text,true,,515,336,6,6,http://localhost:8085/users/15,2,0,0
1763947200989,41,POST,201,Created,TESTES 1-2,text,true,,380,394,6,6,http://localhost:8085/users,41,0,0
