timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763946610317,2,Healthcheck,200,OK,TESTES 1-1,text,true,,182,127,1,1,http://localhost:8083/healthcheck,2,0,1
1763946610319,6,POST,201,Created,TESTES 1-1,text,true,,353,394,1,1,http://localhost:8083/users,6,0,0
1763946610326,1,GET ID,200,OK,TESTES 1-1,text,true,,348,124,1,1,http://localhost:8083/users/11,1,0,0
1763946610327,2,Healthcheck,200,OK,TESTES 1-2,text,true,,182,127,2,2,http://localhost:8083/healthcheck,2,0,1
1763946610327,4,PUT,200,OK,TESTES 1-1,text,true,,334,336,2,2,http://localhost:8083/users/11,4,0,0
1763946610331,1,GET,200,OK,TESTES 1-1,text,true,,2087,121,2,2,http://localhost:8083/users,1,0,0
1763946610332,2,DELETE,200,OK,TESTES 1-1,text,true,,164,210,2,2,http://localhost:8083/users/11,2,0,0
1763946610334,0,Healthcheck,200,OK,TESTES 1-1,text,true,,182,127,2,2,http://localhost:8083/healthcheck,0,0,0
1763946610329,6,POST,201,Created,TESTES 1-2,text,true,,354,395,2,2,http://localhost:8083/users,6,0,0
1763946610334,2,POST,201,Created,TESTES 1-1,text,true,,354,395,2,2,http://localhost:8083/users,2,0,0
1763946610335,1,GET ID,200,OK,TESTES 1-2,text,true,,349,124,2,2,http://localhost:8083/users/12,1,0,0
1763946610338,0,Healthcheck,200,OK,TESTES 1-3,text,true,,182,127,3,3,http://localhost:8083/healthcheck,0,0,0
1763946610336,4,PUT,200,OK,TESTES 1-2,text,true,,333,335,3,3,http://localhost:8083/users/12,4,0,0
1763946610338,4,POST,201,Created,TESTES 1-3,text,true,,353,394,3,3,http://localhost:8083/users,4,0,0
1763946610342,1,GET ID,200,OK,TESTES 1-3,text,true,,348,124,3,3,http://localhost:8083/users/14,1,0,0
1763946610336,8,GET ID,200,OK,TESTES 1-1,text,true,,349,124,3,3,http://localhost:8083/users/13,8,0,0
1763946610343,4,PUT,200,OK,TESTES 1-3,text,true,,334,336,3,3,http://localhost:8083/users/14,4,0,0
1763946610344,3,PUT,200,OK,TESTES 1-1,text,true,,333,335,4,4,http://localhost:8083/users/13,3,0,0
1763946610347,1,GET,200,OK,TESTES 1-3,text,true,,2503,121,4,4,http://localhost:8083/users,1,0,0
1763946610340,8,GET,200,OK,TESTES 1-2,text,true,,2503,121,4,4,http://localhost:8083/users,8,0,0
1763946610348,1,Healthcheck,200,OK,TESTES 1-4,text,true,,182,127,4,4,http://localhost:8083/healthcheck,1,0,0
1763946610347,3,GET,200,OK,TESTES 1-1,text,true,,2503,121,4,4,http://localhost:8083/users,3,0,0
1763946610348,3,DELETE,200,OK,TESTES 1-3,text,true,,164,210,4,4,http://localhost:8083/users/14,3,0,0
1763946610351,1,Healthcheck,200,OK,TESTES 1-3,text,true,,182,127,4,4,http://localhost:8083/healthcheck,1,0,0
1763946610349,3,POST,201,Created,TESTES 1-4,text,true,,354,395,4,4,http://localhost:8083/users,3,0,0
1763946610352,1,GET ID,200,OK,TESTES 1-4,text,true,,349,124,4,4,http://localhost:8083/users/15,1,0,0
1763946610350,4,DELETE,200,OK,TESTES 1-1,text,true,,164,210,4,4,http://localhost:8083/users/13,4,0,0
1763946610354,1,Healthcheck,200,OK,TESTES 1-1,text,true,,182,127,4,4,http://localhost:8083/healthcheck,1,0,0
1763946610352,4,POST,201,Created,TESTES 1-3,text,true,,354,395,4,4,http://localhost:8083/users,4,0,0
1763946610357,1,Healthcheck,200,OK,TESTES 1-5,text,true,,182,127,5,5,http://localhost:8083/healthcheck,1,0,0
1763946610356,2,GET ID,200,OK,TESTES 1-3,text,true,,349,124,5,5,http://localhost:8083/users/16,2,0,0
1763946610353,6,PUT,200,OK,TESTES 1-4,text,true,,334,336,5,5,http://localhost:8083/users/15,6,0,0
1763946610348,12,DELETE,200,OK,TESTES 1-2,text,true,,164,210,5,5,http://localhost:8083/users/12,12,0,0
1763946610355,5,POST,201,Created,TESTES 1-1,text,true,,354,394,5,5,http://localhost:8083/users,5,0,0
1763946610360,2,Healthcheck,200,OK,TESTES 1-2,text,true,,182,127,5,5,http://localhost:8083/healthcheck,2,0,0
1763946610360,3,GET ID,200,OK,TESTES 1-1,text,true,,349,124,5,5,http://localhost:8083/users/17,3,0,0
1763946610359,4,GET,200,OK,TESTES 1-4,text,true,,2759,121,5,5,http://localhost:8083/users,4,0,0
1763946610358,6,POST,201,Created,TESTES 1-5,text,true,,354,395,5,5,http://localhost:8083/users,6,0,0
1763946610364,1,GET ID,200,OK,TESTES 1-5,text,true,,349,124,5,5,http://localhost:8083/users/18,1,0,0
1763946610362,4,POST,201,Created,TESTES 1-2,text,true,,353,394,5,5,http://localhost:8083/users,4,0,0
1763946610363,3,DELETE,200,OK,TESTES 1-4,text,true,,164,210,5,5,http://localhost:8083/users/15,3,0,0
1763946610366,0,Healthcheck,200,OK,TESTES 1-4,text,true,,182,127,5,5,http://localhost:8083/healthcheck,0,0,0
1763946610363,4,PUT,200,OK,TESTES 1-1,text,true,,332,334,6,6,http://localhost:8083/users/17,4,0,0
1763946610366,1,GET ID,200,OK,TESTES 1-2,text,true,,348,124,6,6,http://localhost:8083/users/19,1,0,0
1763946610367,1,Healthcheck,200,OK,TESTES 1-6,text,true,,182,127,6,6,http://localhost:8083/healthcheck,1,0,0
1763946610367,2,GET,200,OK,TESTES 1-1,text,true,,2756,121,6,6,http://localhost:8083/users,2,0,0
1763946610366,5,POST,201,Created,TESTES 1-4,text,true,,354,395,6,6,http://localhost:8083/users,5,0,0
1763946610365,6,PUT,200,OK,TESTES 1-5,text,true,,333,335,6,6,http://localhost:8083/users/18,6,0,0
1763946610368,4,POST,201,Created,TESTES 1-6,text,true,,354,395,6,6,http://localhost:8083/users,4,0,0
1763946610371,2,GET ID,200,OK,TESTES 1-4,text,true,,349,124,6,6,http://localhost:8083/users/20,2,0,0
1763946610371,2,GET,200,OK,TESTES 1-5,text,true,,3158,121,6,6,http://localhost:8083/users,2,0,0
1763946610367,7,PUT,200,OK,TESTES 1-2,text,true,,333,335,6,6,http://localhost:8083/users/19,7,0,0
1763946610358,16,PUT,200,OK,TESTES 1-3,text,true,,334,336,6,6,http://localhost:8083/users/16,16,0,0
1763946610372,3,GET ID,200,OK,TESTES 1-6,text,true,,349,124,6,6,http://localhost:8083/users/21,3,0,0
1763946610374,2,GET,200,OK,TESTES 1-2,text,true,,3158,121,6,6,http://localhost:8083/users,2,0,0
1763946610374,2,GET,200,OK,TESTES 1-3,text,true,,3158,121,6,6,http://localhost:8083/users,2,0,0
1763946610373,4,DELETE,200,OK,TESTES 1-5,text,true,,164,210,7,7,http://localhost:8083/users/18,4,0,0
1763946610377,1,Healthcheck,200,OK,TESTES 1-5,text,true,,182,127,7,7,http://localhost:8083/healthcheck,1,0,0
1763946610377,1,Healthcheck,200,OK,TESTES 1-7,text,true,,182,127,7,7,http://localhost:8083/healthcheck,1,0,0
1763946610373,6,PUT,200,OK,TESTES 1-4,text,true,,334,336,7,7,http://localhost:8083/users/20,6,0,0
1763946610376,4,DELETE,200,OK,TESTES 1-3,text,true,,164,210,7,7,http://localhost:8083/users/16,4,0,0
1763946610375,5,PUT,200,OK,TESTES 1-6,text,true,,334,336,7,7,http://localhost:8083/users/21,5,0,0
1763946610376,4,DELETE,200,OK,TESTES 1-2,text,true,,164,210,7,7,http://localhost:8083/users/19,4,0,0
1763946610380,1,Healthcheck,200,OK,TESTES 1-3,text,true,,182,127,7,7,http://localhost:8083/healthcheck,1,0,0
1763946610380,1,Healthcheck,200,OK,TESTES 1-2,text,true,,182,127,7,7,http://localhost:8083/healthcheck,1,0,0
1763946610379,3,GET,200,OK,TESTES 1-4,text,true,,2950,121,7,7,http://localhost:8083/users,3,0,0
1763946610380,3,GET,200,OK,TESTES 1-6,text,true,,2950,121,7,7,http://localhost:8083/users,3,0,0
1763946610369,14,DELETE,200,OK,TESTES 1-1,text,true,,164,210,7,7,http://localhost:8083/users/17,14,0,0
1763946610378,5,POST,201,Created,TESTES 1-7,text,true,,353,394,7,7,http://localhost:8083/users,5,0,0
1763946610383,1,Healthcheck,200,OK,TESTES 1-1,text,true,,182,127,7,7,http://localhost:8083/healthcheck,1,0,0
1763946610378,6,POST,201,Created,TESTES 1-5,text,true,,354,395,7,7,http://localhost:8083/users,6,0,0
1763946610383,3,GET ID,200,OK,TESTES 1-7,text,true,,348,124,7,7,http://localhost:8083/users/22,3,0,0
1763946610384,3,GET ID,200,OK,TESTES 1-5,text,true,,349,124,8,8,http://localhost:8083/users/23,3,0,0
1763946610381,6,POST,201,Created,TESTES 1-3,text,true,,354,395,8,8,http://localhost:8083/users,6,0,0
1763946610381,6,POST,201,Created,TESTES 1-2,text,true,,354,395,8,8,http://localhost:8083/users,6,0,0
1763946610382,6,DELETE,200,OK,TESTES 1-4,text,true,,164,210,8,8,http://localhost:8083/users/20,6,0,0
1763946610383,5,DELETE,200,OK,TESTES 1-6,text,true,,164,210,8,8,http://localhost:8083/users/21,5,0,0
1763946610387,1,Healthcheck,200,OK,TESTES 1-8,text,true,,182,127,8,8,http://localhost:8083/healthcheck,1,0,0
1763946610388,1,Healthcheck,200,OK,TESTES 1-6,text,true,,182,127,8,8,http://localhost:8083/healthcheck,1,0,0
1763946610388,1,Healthcheck,200,OK,TESTES 1-4,text,true,,182,127,8,8,http://localhost:8083/healthcheck,1,0,0
1763946610387,3,GET ID,200,OK,TESTES 1-3,text,true,,349,124,8,8,http://localhost:8083/users/24,3,0,0
1763946610387,4,GET ID,200,OK,TESTES 1-2,text,true,,349,124,8,8,http://localhost:8083/users/25,4,0,0
1763946610386,7,PUT,200,OK,TESTES 1-7,text,true,,334,336,8,8,http://localhost:8083/users/22,7,0,0
1763946610387,7,PUT,200,OK,TESTES 1-5,text,true,,334,336,8,8,http://localhost:8083/users/23,7,0,0
1763946610393,2,GET,200,OK,TESTES 1-7,text,true,,3416,121,8,8,http://localhost:8083/users,2,0,0
1763946610389,6,POST,201,Created,TESTES 1-6,text,true,,354,395,8,8,http://localhost:8083/users,6,0,0
