timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763947287516,6,Healthcheck,200,OK,TESTES 1-1,text,true,,290,127,1,1,http://localhost:8085/healthcheck,6,0,0
1763947287526,5,Healthcheck,200,OK,TESTES 1-2,text,true,,290,127,2,2,http://localhost:8085/healthcheck,5,0,0
1763947287536,1,Healthcheck,200,OK,TESTES 1-3,text,true,,290,127,3,3,http://localhost:8085/healthcheck,1,0,1
1763947287546,1,Healthcheck,200,OK,TESTES 1-4,text,true,,290,127,4,4,http://localhost:8085/healthcheck,1,0,1
1763947287556,1,Healthcheck,200,OK,TESTES 1-5,text,true,,290,127,5,5,http://localhost:8085/healthcheck,1,0,0
1763947287566,1,Healthcheck,200,OK,TESTES 1-6,text,true,,290,127,6,6,http://localhost:8085/healthcheck,1,0,1
1763947287531,43,POST,201,Created,TESTES 1-2,text,true,,380,395,6,6,http://localhost:8085/users,43,0,0
1763947287522,52,POST,201,Created,TESTES 1-1,text,true,,380,395,6,6,http://localhost:8085/users,52,0,0
1763947287574,1,GET ID,200,OK,TESTES 1-2,text,true,,530,124,6,6,http://localhost:8085/users/11,1,0,0
1763947287574,2,GET ID,200,OK,TESTES 1-1,text,true,,530,124,6,6,http://localhost:8085/users/12,2,0,0
1763947287575,2,PUT,200,OK,TESTES 1-2,text,true,,515,336,7,7,http://localhost:8085/users/11,2,0,0
1763947287576,1,Healthcheck,200,OK,TESTES 1-7,text,true,,290,127,7,7,http://localhost:8085/healthcheck,1,0,1
1763947287576,2,PUT,200,OK,TESTES 1-1,text,true,,514,335,7,7,http://localhost:8085/users/12,2,0,0
1763947287577,2,GET,200,OK,TESTES 1-2,text,true,,3246,121,7,7,http://localhost:8085/users,2,0,0
1763947287537,43,POST,201,Created,TESTES 1-3,text,true,,380,395,7,7,http://localhost:8085/users,43,0,0
1763947287579,1,DELETE,200,OK,TESTES 1-2,text,true,,277,210,7,7,http://localhost:8085/users/11,1,0,0
